_id,LHIN,Home Name,Licensing Home Number,Address1,Address2,City,Postal,Phone,Fax,Email,Website,CCAC (no longer exist),Home Administrator Admin First Name,Admin Last Name,Licensee,Management Firm,Home Type (Sector),Licensed Beds,Approved Short Stay Beds (Beds are not operated as short stay under Covid Guidelines),Resident's Council,Family Council,Accreditation,Home Designated Under French Language Services Act,home_profile_link_EN,home_inspection_link_EN,home_inspection_link_FR,home_profile_link_FR,vaccine_data_home_name,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate,vaccine_data_date,wait_times_EN,wait_times_FR,placement_coordinator_EN,placement_coordinator_FR,hccss_phone_EN,hccss_tty_EN,hccss_phone_FR,hccss_tty_FR,hvac_designated_cooling_areas,hvac_resident_rooms,year_of_construction,hvac_rooms,hvac_date,latest_inspection_type,latest_inspection_link_EN,latest_inspection_datestamp,latest_inspection_date,latest_inspection_link_FR,x,y
0909,Central,North Park Nursing Home,0909,450 Rustic Road,null,North York,M6L1W9,416-247-0531 ,416-247-6159,northparknursinghome@rogers.com,0,null,Amo,Nandlall,North Park Nursing Home Limited,Assured Care Consulting Inc.,For-Profit,75,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0909&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0909&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=0909&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=0909&tab=0,North Park Nursing Home,1,1,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1975,33,2021-12-06,Critical Incident Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28641&FacilityID=20363,2021-11-30,2021-10-18,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28641&FacilityID=20363,-79.4821465209999,43.717417992
0922,Central,Cheltenham Care Community,0922,5935 Bathurst Street,null,North York,M2R1Y8,416-223-4050 ,416-223-4159,jennifer.gillingham@siennaliving.ca,http://www.siennaliving.ca/Long-Term-Care/Locations/Cheltenham.aspx,null,Jennifer,Gillingham,Vigour Limited Partnership on behalf of Vigour General Partner Inc.,null,For-Profit,170,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0922&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=0922&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=0922&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=0922&tab=0,Cheltenham Care Community,1,1,2021-10-31,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1962,90,2021-12-06,Complaints Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28127&FacilityID=20092,2021-11-30,2021-07-20,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28127&FacilityID=20092,-79.444460615,43.781840205
1021,Central,River Glen Haven Nursing Home,1021,160 High Street,P.O. Box 368,Sutton West,L0E1R0,905-722-3631 ,905-722-8638,darlene.horne@riverglenhaven.ca,http://www.atkcareinc.ca,null,Karen,Ryan,ATK Care Inc.,null,For-Profit,119,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1021&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1021&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=1021&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=1021&tab=0,River Glen Haven Nursing Home,1,0.98,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1971,51,2021-12-06,Critical Incident Inspection  with Order(s) of the Inspector,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28018&FacilityID=20419,2021-11-30,2021-07-15,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28018&FacilityID=20419,-79.361651335,44.3038853990001
1041,Central,Downsview Long Term Care Centre,1041,3595 Keele Street,null,North York,M3J1M7,416-633-3431 ,416-633-6736,general@downsviewltcc.com,0,null,Robert,Scott,Gem Health Care Group Limited,null,For-Profit,252,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1041&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=1041&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=1041&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=1041&tab=0,Downsview Long Term Care Centre,1,0.98,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1971,192,2021-12-06,Complaints Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28534&FacilityID=20071,2021-11-30,2021-10-22,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28534&FacilityID=20071,-79.4855957249999,43.751184197
2113,Central,King City Lodge Nursing Home,2113,146 Fog Road,null,King City,L7B1A3,905-833-5037 ,905-833-5925,sukhwinder.palial@kingcitylodge.com,http://www.kingcitylodge.com,null,Sukhwinder,Palial,Poranganel Holdings Limited,null,For-Profit,36,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2113&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2113&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2113&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2113&tab=0,King City Lodge Nursing Home,1,1,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1969,17,2021-12-06,Critical Incident Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28646&FacilityID=20268,2021-11-30,2021-10-26,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28646&FacilityID=20268,-79.5508022659999,43.972002633
2174,Central,The Willows Estate Nursing Home,2174,13837 Yonge Street,null,Aurora,L4G3G8,905-727-0128 ,905-841-0454,mriel@omniway.ca,http://www.omniway.com,null,Matthew,Riel,0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership,null,For-Profit,84,null,YES,NO,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2174&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2174&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2174&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2174&tab=0,The Willows Estate Nursing Home,1,1,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,No,1978,48,2021-12-06,Follow-Up Inspection with Order(s) of the Inspector,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28287&FacilityID=20580,2021-11-30,2021-06-28,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28287&FacilityID=20580,-79.458626136,43.9654946360001
2240,Central,Eagle Terrace,2240,329 Eagle Street,null,Newmarket,L3Y1K3,905-895-5187 ,905-895-2645,eagleterrace-generalemail@reveraliving.com,http://www.reveraliving.com/long-term-care/locations/eagle-terrace,null,Diane,Brunelle-Marleau,Revera Long Term Care Inc.,null,For-Profit,70,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2240&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2240&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2240&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2240&tab=0,Eagle Terrace,0.99,0.99,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,No,1962,34,2021-12-06,Critical Incident Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28539&FacilityID=20126,2021-11-30,2021-10-12,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28539&FacilityID=20126,-79.463404345,44.0489484500001
2460,Central,Extendicare Bayview,2460,550 Cummer Avenue,null,North York,M2K2M2,416-226-1331 ,416-226-2745,cnh_bayview@extendicare.com,http://www.extendicarebayview.com,null,Danielle,Zhang,Extendicare (Canada) Inc.,null,For-Profit,205,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2460&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2460&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2460&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2460&tab=0,Extendicare Bayview,1,1,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,No,1970,123,2021-12-06,Complaints Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28796&FacilityID=20141,2021-11-30,2021-11-05,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28796&FacilityID=20141,-79.390672399,43.7934125090001
2556,Central,Chartwell Gibson Long Term Care Residence,2556,1925 Steeles Avenue East,null,North York,M2H2H3,416-493-4666 ,416-493-4886,atrumbull@chartwell.com,http://www.chartwell.com,null,Autumn,Trumbull,Chartwell Master Care LP,null,For-Profit,202,null,YES,NO,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2556&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2556&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2556&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2556&tab=0,Chartwell Gibson Long Term Care Residence,1,0.99,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1972,139,2021-12-06,Complaints Inspection  with Order(s) of the Inspector,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28803&FacilityID=20160,2021-11-30,2021-06-29,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28803&FacilityID=20160,-79.373793695,43.807659813
2586,Central,Hawthorne Place Care Centre,2586,2045 Finch Avenue West,null,North York,M3N1M9,416-745-0811 ,416-745-0568,info@hawthorneplacecarecentre.ca,http://www.hawthorneplacecarecentre.ca/,null,Michelle,Sattler,Rykka Care Centres LP,null,For-Profit,269,null,YES,YES,YES,NO,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2586&tab=0,http://publicreporting.ltchomes.net/en-ca/homeprofile.aspx?Home=2586&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2586&tab=1,http://publicreporting.ltchomes.net/fr-ca/homeprofile.aspx?Home=2586&tab=0,Hawthorne Place Care Centre,1,0.99,2021-11-30,http://healthcareathome.ca/central/en/Getting-Care/Getting-Long-Term-Care/Wait-List,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Liste-d%E2%80%99attente,http://healthcareathome.ca/central/en/Getting-care/Getting-Long-Term-Care/Eligibility-and-Admission,http://healthcareathome.ca/central/fr/Obtenir-des-soins/Soins-de-longue-duree/Admissibilite-et-admission,1-888-470-2222,416-222-0876,1 888 470 2222,null,Yes,Yes,1974,115,2021-12-06,Complaints Inspection,http://publicreporting.ltchomes.net/en-ca/File.aspx?RecID=28575&FacilityID=20595,2021-11-30,2021-10-06,http://publicreporting.ltchomes.net/fr-ca/File.aspx?RecID=28575&FacilityID=20595,-79.521468437,43.7562351970001
