X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-81.0077141849999,46.4751436780001,3001,137287581,2604,Long-Term Care Home,NH for-profit,Extendicare York, , , ,333 York Street, , ,Greater Sudbury,P3E5J3,20210527134738,20210526122244
-84.312116655,46.551522506,3002,137287582,2936,Long-Term Care Home,NH non-profit,F.J. Davey Home, , , ,733 Third Line East, , ,Sault Ste. Marie,P6A7C1,20210527134245,20210526122245
-82.413231141,42.594201653,3003,137287583,2823,Long-Term Care Home,NH for-profit,Fairfield Park, , , ,1934 Dufferin Avenue, , ,Chatham-Kent,N8A4M2,20210527134423,20210526122245
-78.318167601,44.3276163520001,3004,137287584,M520,Long-Term Care Home,MHFA,Fairhaven, , , ,881 Dutton Road, , ,Peterborough,K9H7S4,20210527133850,20210526122245
-76.464903998,44.313449231,3005,137287585,M521,Long-Term Care Home,MHFA,Fairmount Home for the Aged, , , ,2069 Battersea Road,R.R. 1, ,Kingston,K0H1S0,20210527134317,20210526122245
-79.212584183,45.3265685800001,3006,137287586,2708,Long-Term Care Home,NH non-profit,Fairvern Nursing Home, , , ,14 Mill Street, , ,Huntsville,P1H2A4,20210527134831,20210526122245
-78.950658865,43.878478445,3007,137287587,M522,Long-Term Care Home,MHFA,Fairview Lodge, , , ,632 Dundas Street West,Postal Office Box 300, ,Whitby,L1N5S3,20210527133734,20210526122246
-76.188381084,45.229524601,3008,137287588,2973,Long-Term Care Home,NH non-profit,Fairview Manor, , , ,75 Spring Street, , ,Mississippi Mills,K0A1A0,20210527133805,20210526122246
-80.343146066,43.3985563950001,3009,137287589,2992,Long-Term Care Home,CHFA,Fairview Mennonite Home, , , ,515 Langs Drive, , ,Cambridge,N3H5E4,20210527133842,20210526122246
-79.428502598,43.648120782,3010,137287590,2723,Long-Term Care Home,NH for-profit,Fairview Nursing Home, , , ,14 Cross Street, , ,Toronto,M6J1S8,20210527134322,20210526122246
-79.7413988979999,43.654017169,3011,137287591,2745,Long-Term Care Home,NH non-profit,Faith Manor Nursing Home, , , ,7900 Mclaughlin Road South, , ,Brampton,L6Y5A7,20210527134716,20210526122246
-78.731219053,44.528464867,3012,137287592,2850,Long-Term Care Home,NH for-profit,Fenelon Court, , , ,44 Wychwood Crescent, , ,Kawartha Lakes,K0M1N0,20210527134412,20210526122246
-82.1353178809999,42.8778328170001,3013,137287593,2673,Long-Term Care Home,NH for-profit,Fiddick's Nursing Home, , , ,437 First Avenue,Postal Office Box 340, ,Petrolia,N0N1R0,20210527134711,20210526122247
-79.2779312599999,43.7672859100001,3014,137287594,2906,Long-Term Care Home,NH for-profit,Fieldstone Commons Care Community, , , ,1000 Ellesmere Road, , ,Toronto,M1P5G2,20210527134326,20210526122247
-80.9274719599999,46.4843011830001,3015,137287595,2829,Long-Term Care Home,NH for-profit,Finlandia Hoivakoti Nursing Home, , , ,233 4th Avenue, , ,Greater Sudbury,P3B4C3,20210527134803,20210526122247
-80.5299797279999,43.428643392,3016,137287596,2707,Long-Term Care Home,NH for-profit,Forest Heights, , , ,60 Westheights Drive, , ,Kitchener,N2N2A8,20210527134554,20210526122247
-75.909667299,45.3143913280001,3017,137287597,2834,Long-Term Care Home,NH for-profit,Forest Hill, , , ,6501 Campeau Drive, , ,Ottawa,K2K3E9,20210527134023,20210526122247
-78.599022656,43.915919667,3018,137287598,2625,Long-Term Care Home,NH for-profit,Fosterbrooke, , , ,330 King Street West, , ,Toronto,L1B1G9,20210527133858,20210526122247
-79.304965865,43.7205599010001,3019,137287599,2836,Long-Term Care Home,NH for-profit,Fountain View Care Community, , , ,1800 O'Connor Drive, , ,Toronto,M4A1W7,20210527134823,20210526122248
-80.2555873169999,43.1569188570001,3020,137287600,2570,Long-Term Care Home,NH for-profit,Fox Ridge Care Community, , , ,389 West Street, , ,Brantford,N3R3V9,20210527134309,20210526122248
-83.679741171,49.684904004,3021,137287601,2940,Long-Term Care Home,NH non-profit,Foyer Des Pionniers, , , ,67 15th Street,Postal Office Box 1538, ,Hearst,P0L1N0,20210527134130,20210526122248
-79.223971276,42.990563975,3022,137287602,3022,Long-Term Care Home,CHFA,Foyer Richelieu Welland, , , ,655 Tanguay Avenue, , ,Welland,L3B6A1,20210527133924,20210526122248
-75.228380472,45.293441853,3023,137287603,2746,Long-Term Care Home,NH for-profit,Foyer St-Viateur Nursing Home, , , ,1003 Limoges Road South, , ,Limoges,K0A2M0,20210527134125,20210526122248
