Year_Month,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
2021-08,Algoma Manor Nursing Home,3041,Thessalon,ALGOMA,0.92,0.91
2021-08,Cedarwood Lodge,7093,Sault Ste. Marie,ALGOMA,0.95,0.95
2021-08,Extendicare Maple View of Sault Ste. Marie,3043,Sault Ste. Marie,ALGOMA,0.74,0.68
2021-08,Extendicare Van Daele,2609,Sault Ste. Marie,ALGOMA,0.9,0.88
2021-08,F. J. Davey Home,2936,Sault Ste. Marie,ALGOMA,0.87,0.74
2021-08,Lady Dunn Health Centre (Wawa),2875,Wawa,ALGOMA,0.96,0.95
2021-08,Mauno Kaihla Koti,2780,Sault Ste. Marie,ALGOMA,0.88,0.88
2021-08,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
2021-08,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,0.95,0.9
2021-08,St. Joseph's Manor,2877,Elliot Lake,ALGOMA,0.97,0.97
2021-08,Brierwood Gardens LTC,2678,Brantford,BRANT,0.86,0.82
2021-08,Fox Ridge Care Community,2570,Brantford,BRANT,0.96,0.9
2021-08,Hardy Terrace,2720,Brantford,BRANT,0.93,0.92
2021-08,Iroquois Lodge Nursing Home,2724,Ohsweken,BRANT,0.77,0.77
2021-08,John Noble Home,M544,Brantford,BRANT,0.86,0.85
2021-08,Park Lane Terrace,2779,Paris,BRANT,0.82,0.79
2021-08,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.84,0.81
2021-08,Telfer Place,2742,Paris,BRANT,0.78,0.67
2021-08,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.87,0.83
2021-08,Copper Terrace,1115,Chatham,CHATHAM-KENT,0.86,0.8
2021-08,Fairfield Park,2823,Wallaceburg,CHATHAM-KENT,0.79,0.77
2021-08,Meadow Park Nursing Home (Chatham),2685,Chatham,CHATHAM-KENT,0.92,0.9
2021-08,Riverview Gardens,M626,Chatham,CHATHAM-KENT,0.83,0.81
2021-08,Tilbury Manor Nursing Home,1064,Tilbury,CHATHAM-KENT,0.77,0.71
2021-08,Village on the Ridge,2765,Ridgetown,CHATHAM-KENT,0.93,0.84
2021-08,Bay Ridges,2895,Pickering,DURHAM,0.87,0.85
2021-08,Bon Air Long Term Care Residence,2613,Cannington,DURHAM,0.91,0.84
2021-08,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,0.92,0.85
2021-08,Chartwell Wynfield Long Term Care Residence,2885,Oshawa,DURHAM,0.91,0.88
2021-08,Extendicare Oshawa,2439,Oshawa,DURHAM,0.9,0.88
2021-08,Fairview Lodge,M522,Whitby,DURHAM,0.88,0.85
2021-08,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.91,0.89
2021-08,Glen Hill Terrace,3053,Whitby,DURHAM,0.94,0.93
2021-08,Hillsdale Estates,M539,Oshawa,DURHAM,0.84,0.82
2021-08,Hillsdale Terraces,M630,Oshawa,DURHAM,0.89,0.88
2021-08,Lakeview Manor,M546,Beaverton,DURHAM,0.89,0.89
2021-08,Orchard Villa,2693,Pickering,DURHAM,0.75,0.73
2021-08,Port Perry Place,2629,Port Perry,DURHAM,0.9,0.9
2021-08,ReachView Village,2635,Uxbridge,DURHAM,0.91,0.91
2021-08,Sunnycrest Nursing Home,1013,Whitby,DURHAM,0.85,0.83
2021-08,The Village of Taunton Mills,2902,Whitby,DURHAM,0.95,0.78
2021-08,Thorntonview,2534,Oshawa,DURHAM,0.93,0.91
2021-08,Winbourne Park,2871,Ajax,DURHAM,0.9,0.9
2021-08,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,0.97,0.97
2021-08,Centre d'Accueil Roger Seguin,2988,Clarence Creek,EASTERN ONTARIO,0.89,0.87
2021-08,Champlain Long Term Care Residence,925,L'orignal,EASTERN ONTARIO,0.99,0.99
2021-08,Dundas Manor Nursing Home,2674,Winchester,EASTERN ONTARIO,1,1
2021-08,Foyer St-Viateur Nursing Home,2746,Limoges,EASTERN ONTARIO,0.89,0.87
2021-08,Glen-Stor-Dun Lodge,M529,Cornwall,EASTERN ONTARIO,0.75,0.73
2021-08,Heartwood,2088,Cornwall,EASTERN ONTARIO,0.88,0.82
2021-08,Lancaster Long Term Care Residence,2680,Lancaster,EASTERN ONTARIO,0.9,0.84
2021-08,Maxville Manor,3000,Maxville,EASTERN ONTARIO,0.89,0.89
2021-08,Parisien Manor,1131,Cornwall,EASTERN ONTARIO,0.89,0.87
2021-08,Pinecrest (Plantagenet),2797,Plantagenet,EASTERN ONTARIO,0.81,0.77
2021-08,Residence Prescott et Russell,M567,Hawkesbury,EASTERN ONTARIO,0.8,0.76
2021-08,Sandfield Place,2778,Cornwall,EASTERN ONTARIO,0.94,0.93
2021-08,St. Jacques Nursing Home,2691,Embrun,EASTERN ONTARIO,0.96,0.93
2021-08,St. Joseph's Continuing Care Centre,3012,Cornwall,EASTERN ONTARIO,0.9,0.85
2021-08,The Palace,2642,Alexandria,EASTERN ONTARIO,0.91,0.88
2021-08,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.76,0.75
2021-08,Woodland Villa,2743,Long Sault,EASTERN ONTARIO,0.87,0.83
2021-08,Brucelea Haven Long Term Care,M507,Walkerton,GREY-BRUCE,0.8,0.76
2021-08,Country Lane Long Term Care Residence,1027,Chatsworth,GREY-BRUCE,0.83,0.81
2021-08,Elgin Abbey Nursing Home,2725,Chesley,GREY-BRUCE,0.94,0.94
2021-08,Errinrung Long Term Care Home,2513,Thornbury,GREY-BRUCE,0.81,0.81
2021-08,Gateway Haven Long Term Care Home,M526,Wiarton,GREY-BRUCE,0.88,0.85
2021-08,Georgian Heights,2638,Owen Sound,GREY-BRUCE,0.88,0.86
